geo_id,tract_name,hs_grad_or_higher,bachelors_or_higher,bachelors_degree,graduate_degree,year
1400000US17031222700,"Census Tract 2227, Cook County, Illinois",1404,616,410,206,2018
1400000US17031222800,"Census Tract 2228, Cook County, Illinois",554,224,152,72,2018
1400000US17031222900,"Census Tract 2229, Cook County, Illinois",489,101,61,40,2018
1400000US17031230100,"Census Tract 2301, Cook County, Illinois",1041,479,319,160,2018
1400000US17031230200,"Census Tract 2302, Cook County, Illinois",873,237,162,75,2018
1400000US17031230300,"Census Tract 2303, Cook County, Illinois",442,83,62,21,2018
1400000US17031230400,"Census Tract 2304, Cook County, Illinois",1013,290,184,106,2018
1400000US17031230500,"Census Tract 2305, Cook County, Illinois",1065,238,216,22,2018
1400000US17031230600,"Census Tract 2306, Cook County, Illinois",2628,476,328,148,2018
1400000US17031230700,"Census Tract 2307, Cook County, Illinois",2283,422,273,149,2018
1400000US17031230800,"Census Tract 2308, Cook County, Illinois",565,105,57,48,2018
1400000US17031230900,"Census Tract 2309, Cook County, Illinois",2577,979,679,300,2018
1400000US17031231100,"Census Tract 2311, Cook County, Illinois",584,116,81,35,2018
1400000US17031231200,"Census Tract 2312, Cook County, Illinois",2612,536,336,200,2018
1400000US17031231500,"Census Tract 2315, Cook County, Illinois",2954,435,264,171,2018
1400000US17031240200,"Census Tract 2402, Cook County, Illinois",1299,1011,673,338,2018
1400000US17031240300,"Census Tract 2403, Cook County, Illinois",917,796,461,335,2018
1400000US17031240500,"Census Tract 2405, Cook County, Illinois",1938,1821,983,838,2018
1400000US17031240600,"Census Tract 2406, Cook County, Illinois",983,697,403,294,2018
1400000US17031240700,"Census Tract 2407, Cook County, Illinois",1062,641,373,268,2018
1400000US17031240800,"Census Tract 2408, Cook County, Illinois",930,482,307,175,2018
1400000US17031240900,"Census Tract 2409, Cook County, Illinois",604,266,134,132,2018
1400000US17031241000,"Census Tract 2410, Cook County, Illinois",1174,674,459,215,2018
1400000US17031241100,"Census Tract 2411, Cook County, Illinois",2689,1712,1292,420,2018
1400000US17031241200,"Census Tract 2412, Cook County, Illinois",1265,970,611,359,2018
1400000US17031241300,"Census Tract 2413, Cook County, Illinois",1398,1091,570,521,2018
1400000US17031241400,"Census Tract 2414, Cook County, Illinois",3986,3241,2169,1072,2018
1400000US17031241500,"Census Tract 2415, Cook County, Illinois",2244,1914,1118,796,2018
1400000US17031241600,"Census Tract 2416, Cook County, Illinois",2728,2142,1432,710,2018
1400000US17031242000,"Census Tract 2420, Cook County, Illinois",3684,2777,1971,806,2018
1400000US17031242100,"Census Tract 2421, Cook County, Illinois",2961,2457,1596,861,2018
1400000US17031242200,"Census Tract 2422, Cook County, Illinois",2585,2168,1173,995,2018
1400000US17031242300,"Census Tract 2423, Cook County, Illinois",2762,2160,1424,736,2018
1400000US17031242400,"Census Tract 2424, Cook County, Illinois",2009,1515,780,735,2018
1400000US17031242500,"Census Tract 2425, Cook County, Illinois",2287,1504,978,526,2018
1400000US17031242600,"Census Tract 2426, Cook County, Illinois",3710,2393,1663,730,2018
1400000US17031242700,"Census Tract 2427, Cook County, Illinois",1042,475,345,130,2018
1400000US17031242800,"Census Tract 2428, Cook County, Illinois",1053,643,351,292,2018
1400000US17031242900,"Census Tract 2429, Cook County, Illinois",1244,926,555,371,2018
1400000US17031243000,"Census Tract 2430, Cook County, Illinois",1619,899,542,357,2018
1400000US17031243100,"Census Tract 2431, Cook County, Illinois",1409,1151,737,414,2018
1400000US17031243200,"Census Tract 2432, Cook County, Illinois",1526,1169,815,354,2018
1400000US17031243300,"Census Tract 2433, Cook County, Illinois",1704,1351,809,542,2018
1400000US17031243400,"Census Tract 2434, Cook County, Illinois",1948,1364,682,682,2018
1400000US17031243500,"Census Tract 2435, Cook County, Illinois",2789,2172,1303,869,2018
1400000US17031250200,"Census Tract 2502, Cook County, Illinois",1271,230,155,75,2018
1400000US17031250300,"Census Tract 2503, Cook County, Illinois",2395,613,472,141,2018
1400000US17031250400,"Census Tract 2504, Cook County, Illinois",2714,468,360,108,2018
1400000US17031250500,"Census Tract 2505, Cook County, Illinois",4550,2076,1152,924,2018
1400000US17031250600,"Census Tract 2506, Cook County, Illinois",2431,472,252,220,2018
1400000US17031250700,"Census Tract 2507, Cook County, Illinois",3663,487,339,148,2018
1400000US17031250800,"Census Tract 2508, Cook County, Illinois",1231,138,72,66,2018
1400000US17031251000,"Census Tract 2510, Cook County, Illinois",537,48,26,22,2018
1400000US17031251100,"Census Tract 2511, Cook County, Illinois",2001,165,123,42,2018
1400000US17031251200,"Census Tract 2512, Cook County, Illinois",2185,287,216,71,2018
1400000US17031251300,"Census Tract 2513, Cook County, Illinois",2098,265,189,76,2018
1400000US17031251400,"Census Tract 2514, Cook County, Illinois",2324,492,310,182,2018
1400000US17031251500,"Census Tract 2515, Cook County, Illinois",1824,288,117,171,2018
1400000US17031251600,"Census Tract 2516, Cook County, Illinois",1910,310,149,161,2018
1400000US17031251700,"Census Tract 2517, Cook County, Illinois",590,107,68,39,2018
1400000US17031251800,"Census Tract 2518, Cook County, Illinois",1982,164,131,33,2018
