geo_id,tract_name,labor_force_population,unemployment_rate,mean_commute_minutes,median_household_income,per_capita_income,poverty_rate,year
1400000US17031110400,"Census Tract 1104, Cook County, Illinois",3817,5,40.7,69736,36835,8.2,2018
1400000US17031110501,"Census Tract 1105.01, Cook County, Illinois",4396,5,37,86512,33008,5.2,2018
1400000US17031110502,"Census Tract 1105.02, Cook County, Illinois",2959,2.7,37.8,59875,34228,9.6,2018
1400000US17031120100,"Census Tract 1201, Cook County, Illinois",3316,2.6,32.7,133622,55666,2.5,2018
1400000US17031120200,"Census Tract 1202, Cook County, Illinois",3635,5.2,35.1,105833,52304,5.8,2018
1400000US17031120300,"Census Tract 1203, Cook County, Illinois",5072,3.6,34.5,123818,53414,4.2,2018
1400000US17031120400,"Census Tract 1204, Cook County, Illinois",2919,4.6,32.1,78750,34813,6.4,2018
1400000US17031130100,"Census Tract 1301, Cook County, Illinois",4057,3.5,27.9,43438,31440,13.1,2018
1400000US17031130200,"Census Tract 1302, Cook County, Illinois",1260,5.6,32.6,79167,46638,5.2,2018
1400000US17031130300,"Census Tract 1303, Cook County, Illinois",4470,10.8,36.3,56882,26601,19.5,2018
1400000US17031140100,"Census Tract 1401, Cook County, Illinois",2435,8.1,36.8,42868,19434,30.1,2018
1400000US17031140200,"Census Tract 1402, Cook County, Illinois",5379,2.8,36.2,43125,19381,26.2,2018
1400000US17031140301,"Census Tract 1403.01, Cook County, Illinois",2048,7,35.1,46534,17114,24.8,2018
1400000US17031140302,"Census Tract 1403.02, Cook County, Illinois",3309,7.6,36.7,72713,27992,12.9,2018
1400000US17031140400,"Census Tract 1404, Cook County, Illinois",4881,4.4,33.2,70682,34454,6.2,2018
1400000US17031140500,"Census Tract 1405, Cook County, Illinois",3143,8.7,35.6,62264,26691,12.8,2018
1400000US17031140601,"Census Tract 1406.01, Cook County, Illinois",2409,7,37.8,48077,22192,13.4,2018
1400000US17031140602,"Census Tract 1406.02, Cook County, Illinois",3836,8,38.7,51982,25715,24.4,2018
1400000US17031140701,"Census Tract 1407.01, Cook County, Illinois",2342,4.6,35.3,63571,28077,13.5,2018
1400000US17031140702,"Census Tract 1407.02, Cook County, Illinois",4829,7,40,58824,29576,19.8,2018
1400000US17031140800,"Census Tract 1408, Cook County, Illinois",5183,1.8,35.9,71366,40883,14.8,2018
1400000US17031150200,"Census Tract 1502, Cook County, Illinois",6498,8.5,37.3,68157,35449,13,2018
1400000US17031150300,"Census Tract 1503, Cook County, Illinois",6490,3.9,38.6,76545,33502,8.1,2018
1400000US17031150401,"Census Tract 1504.01, Cook County, Illinois",4111,6,36,64225,30433,9.3,2018
1400000US17031150402,"Census Tract 1504.02, Cook County, Illinois",2979,4.5,36.1,76017,33141,4.7,2018
1400000US17031150501,"Census Tract 1505.01, Cook County, Illinois",3265,8.6,38.4,69320,32735,6.5,2018
1400000US17031150502,"Census Tract 1505.02, Cook County, Illinois",3350,6.9,37.6,61967,30908,16.7,2018
1400000US17031150600,"Census Tract 1506, Cook County, Illinois",3499,3.6,39.5,67500,30080,10,2018
1400000US17031150700,"Census Tract 1507, Cook County, Illinois",3500,0.9,38.9,71190,30769,17.9,2018
1400000US17031150800,"Census Tract 1508, Cook County, Illinois",4174,9.6,36.7,56917,29856,5,2018
1400000US17031151001,"Census Tract 1510.01, Cook County, Illinois",2174,6.3,39.2,62734,26260,17.3,2018
1400000US17031151002,"Census Tract 1510.02, Cook County, Illinois",3617,7.4,36.3,55125,22370,10.1,2018
1400000US17031151100,"Census Tract 1511, Cook County, Illinois",4203,5.3,38.8,59917,24666,17.6,2018
1400000US17031151200,"Census Tract 1512, Cook County, Illinois",2957,6.1,36.4,64875,28936,9.7,2018
1400000US17031160100,"Census Tract 1601, Cook County, Illinois",2008,7.6,36.1,69844,34181,9.4,2018
1400000US17031160200,"Census Tract 1602, Cook County, Illinois",2530,2.8,35,82765,46462,6.9,2018
1400000US17031160300,"Census Tract 1603, Cook County, Illinois",3278,4.8,35.5,56790,39096,12.1,2018
1400000US17031160400,"Census Tract 1604, Cook County, Illinois",3849,3.2,35,56029,31354,14.8,2018
1400000US17031160501,"Census Tract 1605.01, Cook County, Illinois",2977,3.7,37,56190,25207,14.1,2018
1400000US17031160502,"Census Tract 1605.02, Cook County, Illinois",2937,7,37.3,57400,25160,11.7,2018
1400000US17031160601,"Census Tract 1606.01, Cook County, Illinois",2802,3.2,38.4,68902,34843,10,2018
1400000US17031160602,"Census Tract 1606.02, Cook County, Illinois",3010,1.6,36.5,64917,34333,5.9,2018
1400000US17031160700,"Census Tract 1607, Cook County, Illinois",5306,4.9,35.3,79671,40513,14.6,2018
1400000US17031160800,"Census Tract 1608, Cook County, Illinois",4164,5,33.6,60409,30115,7.5,2018
1400000US17031160900,"Census Tract 1609, Cook County, Illinois",2030,4.1,36.6,82872,41859,9.4,2018
1400000US17031161000,"Census Tract 1610, Cook County, Illinois",1640,3.2,33.5,82740,43566,6.4,2018
1400000US17031161100,"Census Tract 1611, Cook County, Illinois",1576,2.2,36.3,116563,67400,2.1,2018
1400000US17031161200,"Census Tract 1612, Cook County, Illinois",2457,3.3,36.9,62250,27883,11.8,2018
1400000US17031161300,"Census Tract 1613, Cook County, Illinois",3280,5.8,35.1,47931,24478,8.1,2018
1400000US17031170100,"Census Tract 1701, Cook County, Illinois",1971,8.5,35.7,53882,35375,10.3,2018
1400000US17031170200,"Census Tract 1702, Cook County, Illinois",3197,2.6,41.7,72122,27162,8.1,2018
1400000US17031170300,"Census Tract 1703, Cook County, Illinois",4161,2,35.5,64455,27612,8.4,2018
1400000US17031170400,"Census Tract 1704, Cook County, Illinois",3256,3.3,41.1,63281,30208,11.9,2018
1400000US17031170500,"Census Tract 1705, Cook County, Illinois",4657,3.4,35.7,84569,34333,5.9,2018
1400000US17031170600,"Census Tract 1706, Cook County, Illinois",2029,5,33,72574,32614,4.8,2018
1400000US17031170700,"Census Tract 1707, Cook County, Illinois",2578,6.3,39.8,73133,29477,8.4,2018
1400000US17031170800,"Census Tract 1708, Cook County, Illinois",3405,4,38,67571,28625,6.4,2018
1400000US17031170900,"Census Tract 1709, Cook County, Illinois",1519,4.5,33.7,63438,25534,6.7,2018
1400000US17031171000,"Census Tract 1710, Cook County, Illinois",6168,6.6,38,75339,34872,8.7,2018
1400000US17031171100,"Census Tract 1711, Cook County, Illinois",3006,3.3,36.1,63111,28916,9.5,2018
1400000US17031180100,"Census Tract 1801, Cook County, Illinois",5093,5,40.3,51071,28092,18.5,2018
1400000US17031190100,"Census Tract 1901, Cook County, Illinois",1999,3.8,37.1,37629,17359,22.9,2018
1400000US17031190200,"Census Tract 1902, Cook County, Illinois",4197,5.2,38.9,59246,21132,11.9,2018
1400000US17031190300,"Census Tract 1903, Cook County, Illinois",4489,5.6,39.1,55069,21156,16.7,2018
1400000US17031190401,"Census Tract 1904.01, Cook County, Illinois",3320,8.9,40.7,61383,22746,18.4,2018
1400000US17031190402,"Census Tract 1904.02, Cook County, Illinois",4365,6,39.7,51421,22307,7.3,2018
1400000US17031190601,"Census Tract 1906.01, Cook County, Illinois",3986,8.7,41.1,49091,20836,16,2018
1400000US17031190602,"Census Tract 1906.02, Cook County, Illinois",4516,8.5,37.6,54464,19378,11.1,2018
1400000US17031190701,"Census Tract 1907.01, Cook County, Illinois",2131,10.6,40.5,40298,14676,23.5,2018
1400000US17031190702,"Census Tract 1907.02, Cook County, Illinois",3511,8.9,41.4,39882,16663,30.3,2018
1400000US17031190800,"Census Tract 1908, Cook County, Illinois",5564,13.1,38.9,47955,18320,19,2018
1400000US17031190900,"Census Tract 1909, Cook County, Illinois",1948,3.9,35.5,55833,18142,20.6,2018
