geo_id,tract_name,households_total,median_household_income,mean_household_income,households_50k_74k,households_75k_99k,households_100k_149k,households_150k_199k,households_200k_plus,year
1400000US17031750600,"Census Tract 7506, Cook County, Illinois",1256,42949.0,58879.0,19.0,5.5,12.7,2.5,2.1,2019
1400000US17031760801,"Census Tract 7608.01, Cook County, Illinois",2199,68159.0,72358.0,20.0,21.3,15.0,4.1,2.9,2019
1400000US17031760802,"Census Tract 7608.02, Cook County, Illinois",1113,54177.0,77778.0,19.8,10.8,11.4,10.2,5.7,2019
1400000US17031760803,"Census Tract 7608.03, Cook County, Illinois",2808,44918.0,51968.0,22.5,13.0,6.9,2.3,0.8,2019
1400000US17031770201,"Census Tract 7702.01, Cook County, Illinois",2861,64215.0,80861.0,19.9,16.2,14.3,11.2,3.6,2019
1400000US17031770202,"Census Tract 7702.02, Cook County, Illinois",2158,66672.0,88558.0,22.3,12.0,14.8,7.1,8.7,2019
1400000US17031770300,"Census Tract 7703, Cook County, Illinois",2811,82196.0,102317.0,20.3,19.5,22.2,4.8,7.4,2019
1400000US17031770400,"Census Tract 7704, Cook County, Illinois",1749,77205.0,88646.0,18.1,18.5,27.8,2.5,3.9,2019
1400000US17031770500,"Census Tract 7705, Cook County, Illinois",1053,41663.0,46678.0,28.2,11.7,0.0,0.0,0.0,2019
1400000US17031770601,"Census Tract 7706.01, Cook County, Illinois",1055,96442.0,105070.0,11.1,16.2,30.9,10.6,6.9,2019
1400000US17031770602,"Census Tract 7706.02, Cook County, Illinois",1591,71103.0,78659.0,19.0,22.9,14.4,7.5,4.2,2019
1400000US17031770700,"Census Tract 7707, Cook County, Illinois",1040,57368.0,81612.0,16.1,14.1,10.7,10.4,4.2,2019
1400000US17031770800,"Census Tract 7708, Cook County, Illinois",1943,58147.0,71866.0,19.4,18.1,13.0,4.1,3.7,2019
1400000US17031770901,"Census Tract 7709.01, Cook County, Illinois",1945,75519.0,94714.0,17.2,16.9,16.6,8.7,8.5,2019
1400000US17031770902,"Census Tract 7709.02, Cook County, Illinois",1353,61466.0,75342.0,16.8,18.9,16.9,4.7,4.2,2019
1400000US17031800100,"Census Tract 8001, Cook County, Illinois",833,,466161.0,4.9,2.8,9.2,4.0,64.7,2019
1400000US17031800200,"Census Tract 8002, Cook County, Illinois",2379,224766.0,335441.0,6.3,7.4,11.0,8.7,53.8,2019
1400000US17031800300,"Census Tract 8003, Cook County, Illinois",1178,207500.0,325911.0,9.4,3.3,12.1,9.6,51.9,2019
1400000US17031800400,"Census Tract 8004, Cook County, Illinois",1203,,370421.0,4.8,2.8,11.7,9.4,60.3,2019
1400000US17031800500,"Census Tract 8005, Cook County, Illinois",1697,237604.0,387642.0,4.4,6.2,12.6,10.1,56.7,2019
1400000US17031800600,"Census Tract 8006, Cook County, Illinois",742,238182.0,326007.0,4.0,6.5,10.4,10.5,57.4,2019
1400000US17031800700,"Census Tract 8007, Cook County, Illinois",1653,200852.0,310616.0,4.3,6.0,12.2,12.5,50.5,2019
1400000US17031800800,"Census Tract 8008, Cook County, Illinois",969,98125.0,197447.0,16.5,13.4,14.4,7.0,27.5,2019
1400000US17031800900,"Census Tract 8009, Cook County, Illinois",1444,122857.0,160592.0,7.5,10.8,27.2,9.7,29.3,2019
1400000US17031801000,"Census Tract 8010, Cook County, Illinois",1955,122743.0,172787.0,10.9,10.9,14.8,12.8,29.1,2019
